id,priority,category,effort,status,title,source
1,P0,storage,M,todo,Explicit template instantiation of top chainbase::generic_index<> specializations in dedicated .cpp files,catalogue
2,P0,storage,M,todo,Split types.hpp into types_fwd.hpp / types_basic.hpp / types_operations.hpp to cut header tax,catalogue
3,P0,storage,M,todo,Extern-template declarations for all fc::static_variant operation serializations,catalogue
4,P0,storage,M,todo,Replace Boost.MultiIndex secondary indexes with absl::flat_hash_map or open-addressing for hot lookups,catalogue
5,P1,storage,M,todo,Object-level bit-packing for account_object and comment_object,catalogue
6,P0,storage,M,todo,Hybrid mode: consensus objects in SHM chainbase; non-consensus indexes in RocksDB + LRU,catalogue
7,P1,storage,M,todo,Configurable pruning of comments older than N days on light nodes,catalogue
8,P1,storage,M,partial-portable,Drop secondary indexes entirely on pruned / mobile nodes,catalogue
9,P1,storage,M,partial-portable,Virtual-op retention limited to last M blocks in light mode,catalogue
10,P1,storage,M,todo,Account-history pruning by activity score rather than pure age,catalogue
11,P1,storage,M,todo,Adaptive shared-file-size with transparent huge-page advice,catalogue
12,P1,storage,M,todo,madvise(MADV_HUGEPAGE/WILLNEED/DONTNEED) on chainbase regions,catalogue
13,P0,storage,M,todo,Differential / incremental state snapshots (only changed objects),catalogue
14,P1,storage,M,todo,Parallel snapshot generation across independent indexes,catalogue
15,P1,storage,M,todo,Snapshot format using trained zstd dictionary on mainnet state,catalogue
16,P1,storage,M,todo,Merkle-of-indexes verification for snapshots,catalogue
17,P1,storage,M,todo,Multi-threaded index rebuild on snapshot load,catalogue
18,P1,storage,M,todo,P2P snapshot object-exchange protocol for missing pieces,catalogue
19,P1,storage,M,todo,Snapshot CDN / IPFS distribution optimized for mobile first-run,catalogue
20,P1,storage,M,todo,Auto-snapshot on hardfork boundaries or every N blocks,catalogue
21,P1,storage,M,todo,Omit recoverable data from snapshots to shrink size,catalogue
22,P1,storage,M,todo,Resume from partial / corrupted snapshot,catalogue
23,P0,storage,M,todo,RocksDB block cache sized to 20–30% of free RAM,catalogue
24,P1,storage,M,todo,Bloom filters (10 bits/key) on account and comment column families,catalogue
25,P1,storage,M,todo,write_buffer_size 64–128 MB during replay / bulk load,catalogue
26,P1,storage,M,todo,"ZSTD for cold data, LZ4 for hot data in RocksDB",catalogue
27,P1,storage,M,todo,Universal compaction for history-like column families,catalogue
28,P1,storage,M,todo,Level-0 compaction trigger tuned for lower write amp on SSD,catalogue
29,P1,storage,M,todo,Separate RocksDB instances/CFs per major plugin,catalogue
30,P1,storage,M,todo,RocksDB statistics exposed via Prometheus,catalogue
31,P1,storage,M,todo,Background compaction that yields immediately to block-apply,catalogue
32,P0,storage,M,portable-prototype,Fast concurrent integrity (xxHash) without blocking readers,catalogue
33,P1,storage,M,todo,Pure-RAM mode + periodic checkpoint for high-end witnesses,catalogue
34,P1,storage,M,todo,Compressed block_log eras with per-era dictionaries,catalogue
35,P1,storage,M,todo,On-the-fly block_log compression on low-priority thread,catalogue
36,P1,storage,M,todo,O(1) random-access index into block_log by height,catalogue
37,P1,storage,M,todo,Separate irreversible vs forkable block_log segments,catalogue
38,P1,storage,M,todo,Erase old block_log after HAF has ingested it,catalogue
39,P1,storage,M,todo,Memory-map recent block_log for fast catch-up,catalogue
40,P1,storage,M,todo,xxHash checksums on block_log segments,catalogue
41,P1,storage,M,todo,Parallel block_log write / sharding,catalogue
42,P1,storage,M,todo,S3-compatible external object storage for cold segments,catalogue
43,P0,storage,M,todo,Selective undo: track only changed fields not whole objects,catalogue
44,P1,storage,M,todo,Compress undo-session data with zstd for deep forks,catalogue
45,P1,storage,M,todo,Custom concurrent free-list allocator for undo sessions,catalogue
46,P1,storage,M,todo,Larger chunk sizes in pool_allocator_t for account objects,catalogue
47,P1,storage,M,todo,Reduce boost::intrusive::pointer_rebind instantiations via type erasure,catalogue
48,P1,storage,M,todo,Flat containers for small stable indexes (witness schedule),catalogue
49,P1,storage,M,todo,State-size estimation API for operator prune level choice,catalogue
50,P1,storage,M,todo,Auto-prune when free disk falls below threshold,catalogue
51,P1,storage,M,todo,Differential prune retaining only consensus-critical keys,catalogue
52,P1,storage,M,todo,Synchronized HAF-side pruning policies,catalogue
53,P1,storage,M,todo,Snapshot of already-pruned state for instant light-node start,catalogue
54,P1,storage,M,todo,Benchmark suite quantifying prune vs full trade-offs,catalogue
55,P1,storage,M,todo,Column-family-per-object-type layout in RocksDB,catalogue
56,P1,storage,M,todo,Age-based partitioning of RocksDB data,catalogue
57,P1,storage,M,todo,Concurrent readers via RCU or snapshot isolation on state DB,catalogue
58,P1,storage,M,todo,mmap only hot objects; cold stay on disk,catalogue
59,P1,storage,M,todo,Object lifetime analysis to move more data to stack/static,catalogue
60,P1,storage,M,todo,In-place mutation for comment cashout instead of copy,catalogue
61,P1,storage,M,todo,Batch multiple balance adjustments into one undo entry,catalogue
62,P1,storage,M,todo,Avoid temporary string allocations in name lookups,catalogue
63,P0,storage,M,todo,Primary-key caching for get_account / find_account,catalogue
64,P1,storage,M,todo,Compress cold objects in-place in SHM with on-access decompress,catalogue
65,P1,storage,M,todo,Memory-pressure feedback that shrinks caches or triggers prune,catalogue
66,P1,storage,M,todo,std::pmr polymorphic allocators for protocol objects,catalogue
67,P1,storage,M,todo,Lightweight allocation sampler in production builds,catalogue
68,P1,storage,M,todo,Explicit huge-page allocation for shared-memory file,catalogue
69,P1,storage,M,todo,madvise(MADV_DONTNEED) on cold regions after prune,catalogue
70,P1,storage,M,todo,Operator scripts that enable transparent huge pages,catalogue
71,P1,storage,M,todo,Resizable memory-mapped regions without full restart,catalogue
72,P0,storage,M,todo,Per-thread arena allocators for temporary full_transaction objects,catalogue
73,P1,storage,M,todo,Lock-free free lists for shared-memory object pools,catalogue
74,P1,storage,M,todo,Reduce shared_ptr traffic in full_block / full_transaction via views,catalogue
75,P1,storage,M,todo,Custom deleters that return objects to pools,catalogue
76,P1,storage,M,todo,Pre-allocate pending-transaction structures,catalogue
77,P1,storage,M,todo,Small-string optimization awareness for protocol string fields,catalogue
78,P1,storage,M,todo,Vectorized processing of batches of similar objects,catalogue
79,P1,storage,M,todo,State DB checksum concurrent with apply,catalogue
80,P1,storage,M,todo,Optional encrypted-at-rest for state on untrusted hosts,catalogue
81,P1,storage,M,todo,Adaptive shared-file growth prediction from account creation rate,catalogue
82,P1,storage,M,todo,Separate hot/cold partitions inside chainbase,catalogue
83,P1,storage,M,todo,Background compaction threads with strict latency budgets,catalogue
84,P1,storage,M,portable-prototype,Fast integrity hashes (xxHash) instead of slower CRCs where possible,catalogue
85,P1,storage,M,todo,Snapshot distribution with progressive download + verification,catalogue
86,P1,storage,M,todo,Tooling to convert between full and pruned snapshot formats,catalogue
87,P1,storage,M,todo,Support for multiple concurrent snapshot formats (legacy + new),catalogue
88,P1,storage,M,todo,Automatic snapshot integrity self-test on load,catalogue
89,P1,storage,M,partial-portable,Prune virtual ops by type (keep only high-value),catalogue
90,P1,storage,M,todo,Configurable retention windows per object type,catalogue
91,P1,storage,M,todo,State growth forecasting metrics,catalogue
92,P1,storage,M,todo,Disk I/O scheduler hints for sequential block_log access,catalogue
93,P1,storage,M,todo,Wear-leveling-aware write patterns for flash,catalogue
94,P1,storage,M,todo,Zoned storage / SMR drives for archival block_log,catalogue
95,P1,storage,M,todo,Expand external storage provider interface,catalogue
96,P1,storage,M,todo,RocksDB WAL tuning for lower latency,catalogue
97,P1,storage,M,todo,Disable RocksDB WAL for pure-replay scenarios,catalogue
98,P1,storage,M,todo,Memory-budgeting coordinating chainbase + RocksDB + plugins,catalogue
99,P1,storage,M,todo,Automatic fallback from SHM to process memory on low-RAM devices,catalogue
100,P1,storage,M,todo,Compressed undo history for rare deep-reorg case,catalogue
101,P2,storage,S,todo,Per-index bit-packing strategy for comment_index,expanded
102,P2,storage,S,todo,Per-index bit-packing for account_authority_object,expanded
103,P2,storage,S,todo,"RocksDB preset: NVMe witness (high cache, LZ4 hot)",expanded
104,P2,storage,S,todo,"RocksDB preset: eMMC mobile (small cache, ZSTD, lower L0)",expanded
105,P2,storage,S,todo,"RocksDB preset: HDD archive (large write buffer, universal compact)",expanded
106,P2,storage,S,todo,Snapshot differential encoding: XOR of packed objects,expanded
107,P2,storage,S,todo,Snapshot differential encoding: content-defined chunking,expanded
108,P2,storage,S,todo,Snapshot differential encoding: index-level CRC + delta pages,expanded
109,P2,storage,S,todo,Prune policy: social data (comments/votes) aggressive,expanded
110,P2,storage,S,todo,Prune policy: financial data (balances/transfers) conservative,expanded
111,P2,storage,S,todo,Prune policy: NFT objects retain owners-only on light nodes,expanded
112,P2,storage,S,todo,Prune policy: HTLC open-only on pruned nodes,expanded
113,P2,storage,S,todo,Allocator pool auto-tune from object size histograms,expanded
114,P2,storage,S,todo,Allocator pool size auto-tune from allocation rate,expanded
115,P2,storage,S,todo,SHM region split: accounts hot / comments warm / history cold,expanded
116,P2,storage,S,todo,Object packing: pack bools into bitfields in account_object,expanded
117,P2,storage,S,todo,Object packing: fixed-width asset fields,expanded
118,P2,storage,S,todo,Object packing: interned account_name_type ids,expanded
119,P2,storage,S,todo,Object packing: 32-bit relative block heights where safe,expanded
120,P2,storage,S,todo,Index rebuild skip flags for non-consensus secondary keys,expanded
121,P2,storage,S,todo,Light snapshot: accounts + global props only,expanded
122,P2,storage,S,todo,Light snapshot: + open HTLCs + NFT owners,expanded
123,P2,storage,S,todo,Archive snapshot: full history with external blob refs,expanded
124,P2,storage,S,todo,Chainbase page-fault tracing for cold/hot classification,expanded
125,P2,storage,S,todo,Prefetch next N account objects on transfer batch,expanded
126,P2,storage,S,todo,Prefetch comment tree on cashout window,expanded
127,P2,storage,S,todo,Prefetch witness schedule each block,expanded
128,P2,storage,S,todo,SHM fragmentation defrag offline tool,expanded
129,P2,storage,S,todo,SHM fragmentation online compact on prune,expanded
130,P2,storage,S,todo,RocksDB secondary instance for read-only API nodes,expanded
131,P2,storage,S,todo,RocksDB CF: account_history with TTL,expanded
132,P2,storage,S,todo,RocksDB CF: market_history with TTL,expanded
133,P2,storage,S,todo,RocksDB CF: block_log index,expanded
134,P2,storage,S,todo,RocksDB CF: contract storage (plugin),expanded
135,P2,storage,S,todo,xxHash64 for object integrity in tests,expanded
136,P2,storage,S,todo,xxHash3 for snapshot piece verification,expanded
137,P2,storage,S,todo,CRC32C hardware for block_log if available else xxHash,expanded
138,P2,storage,S,todo,Snapshot piece size tuned to 4MB mobile MTU path,expanded
139,P2,storage,S,todo,Snapshot piece size tuned to 64MB server CDN,expanded
140,P2,storage,S,todo,P2P snapshot piece rarity-first download,expanded
141,P2,storage,S,todo,Prune dry-run mode reporting reclaimable bytes,expanded
142,P2,storage,S,todo,Prune by irreversible height watermark,expanded
143,P2,storage,S,todo,Prune coordinated with last HAF irreversible,expanded
144,P2,storage,S,todo,State size estimator by multi_index sizeof * count,expanded
145,P2,storage,S,todo,State size estimator sampling average object length,expanded
146,P2,storage,S,todo,Cold object compress threshold auto-tune,expanded
147,P2,storage,S,todo,madvise SEQUENTIAL on block_log replay,expanded
148,P2,storage,S,todo,madvise RANDOM on random account lookups mmap,expanded
149,P2,storage,S,todo,Transparent huge pages only on SHM file not process heap,expanded
150,P2,storage,S,todo,Fallback 2MB explicit huge pages if THP unavailable,expanded
151,P0,apply,L,portable-prototype,Expand blockchain_worker_thread_pool to independent op evaluation via dependency analysis,catalogue
152,P0,apply,L,todo,Add apply priority queue to existing high/medium/low lock-free queues,catalogue
153,P0,apply,L,todo,Dynamic thread-pool sizing from hardware_concurrency and load,catalogue
154,P1,apply,L,todo,Work-stealing queues in addition to lock-free design,catalogue
155,P1,apply,L,todo,"Separate pools for crypto, I/O, apply, and indexing",catalogue
156,P1,apply,L,todo,CPU affinity for worker threads,catalogue
157,P1,apply,L,todo,Expand pool coverage to account_history_rocksdb writes,catalogue
158,P1,apply,L,todo,Expand pool to background state-snapshot generation,catalogue
159,P1,apply,L,todo,Expand pool to sql_serializer batching,catalogue
160,P1,apply,L,todo,Task batching of small operations into larger work items,catalogue
161,P1,apply,L,todo,Cancellation of low-priority tasks when high-priority work arrives,catalogue
162,P1,apply,L,todo,Queue-depth / wait-time / task-latency metrics per priority,catalogue
163,P1,apply,L,todo,Inline fallback when the pool is saturated,catalogue
164,P1,apply,L,todo,NUMA-local work queues,catalogue
165,P1,apply,L,todo,Priority inheritance for critical-path tasks,catalogue
166,P1,apply,L,todo,Hybrid io_uring + thread-pool completion,catalogue
167,P1,apply,L,todo,C++20 coroutine tasks on top of the pool,catalogue
168,P1,apply,L,todo,Speculative parallel validation of multiple candidate blocks,catalogue
169,P1,apply,L,todo,Parallel independent multi-index updates after apply,catalogue
170,P1,apply,L,todo,Parallel plugin notify handlers with isolation,catalogue
171,P1,apply,L,todo,Configurable max concurrency for internal apply phases,catalogue
172,P1,apply,L,todo,Specialize _apply_block for skip-flag combinations at compile time,catalogue
173,P0,apply,L,todo,Fast path for empty or low-operation-count blocks,catalogue
174,P1,apply,L,todo,Batch process_comment_cashout across comments,catalogue
175,P1,apply,L,todo,Parallelize independent process_funds / process_conversions,catalogue
176,P0,apply,L,todo,Cache get_dynamic_global_properties results inside a single block,catalogue
177,P1,apply,L,todo,Filter inactive plugins before notify_pre_apply / post_apply,catalogue
178,P0,apply,L,todo,"Inline the hottest evaluators (vote, transfer, custom_json)",catalogue
179,P0,apply,L,todo,Pre-compute authorities for repeated signers inside a block,catalogue
180,P1,apply,L,todo,Priority-queue data structures for clear_expired_* methods,catalogue
181,P1,apply,L,todo,Lazy retally_witness_votes only when required,catalogue
182,P1,apply,L,todo,Incremental hardfork application,catalogue
183,P1,apply,L,todo,Skip header validation for locally produced blocks,catalogue
184,P0,apply,L,todo,Reduce shared_ptr copies on the apply path,catalogue
185,P0,apply,L,todo,Aggressive move semantics for full_transaction,catalogue
186,P1,apply,L,todo,Specialized fast-confirm vs normal apply paths,catalogue
187,P1,apply,L,todo,Batch adjust_balance calls inside one transaction,catalogue
188,P1,apply,L,todo,Calendar indexing for process_recurrent_transfers,catalogue
189,P1,apply,L,todo,Incremental median structures for update_median_feed,catalogue
190,P1,apply,L,todo,Lower-cost pop_block via more efficient undo,catalogue
191,P1,apply,L,todo,Parallel clear_pending where safe,catalogue
192,P1,apply,L,todo,Profile-driven specialization of the top 10 operation evaluators,catalogue
193,P1,apply,L,todo,Generated specialized code paths for each of the 66 operations,catalogue
194,P1,apply,L,todo,Filtered / lazy virtual-op emission under load,catalogue
195,P1,apply,L,todo,More granular skip flags for replay,catalogue
196,P1,apply,L,todo,More frequent irreversible checkpoints,catalogue
197,P1,apply,L,todo,Faster initialize_indexes on startup,catalogue
198,P1,apply,L,todo,Vectorized processing of batches of identical op types,catalogue
199,P0,apply,L,todo,Parallel pre-validation of mempool transactions,catalogue
